name,lon,lat,line_name,idx
강남,127.027926,37.497175,"2호선, 신분당선",0
고속터미널,127.004943,37.50481,"3호선, 7호선, 9호선",1
교대,127.01408,37.493415,"2호선, 3호선",2
구반포,126.987332,37.501364,9호선,3
남부터미널,127.016189,37.485013,3호선,4
남태령,126.989134,37.463873,4호선,5
내방,126.993513,37.487618,7호선,6
반포,127.011727,37.508178,7호선,7
방배,126.997596,37.481426,2호선,8
사당,126.981685,37.47653,"2호선, 4호선",9
사평,127.015259,37.504206,9호선,10
서초,127.007917,37.491897,2호선,11
신반포,126.995925,37.503415,9호선,12
양재,127.034631,37.484147,"3호선, 신분당선",13
양재시민의숲,127.03842,37.470023,신분당선,14
잠원,127.01122,37.512759,3호선,15
청계산입구,127.055664,37.447211,신분당선,16
